"scientific.name","common.name","observed.on","location","latitude","longitude","positional.accuracy","url"
"Verbena hastata","blue vervain","2021-09-16","Bar Harbor, ME 04609, USA",44.3626108128,-68.2080686465,1555,"https://www.inaturalist.org/observations/95093986"
"Chelone glabra","white turtlehead","2021-09-15","Acadia National Park, Bar Harbor, ME, US",44.36277,-68.2080166667,69,"https://www.inaturalist.org/observations/94981927"
"Toxicodendron radicans","eastern poison ivy","2021-09-13","Bar Harbor, ME 04609, USA",44.327469,-68.1849849722,NA,"https://www.inaturalist.org/observations/94776132"
"Medeola virginiana","Cucumber Root","2021-09-11","Bar Harbor",44.3480911255,-68.2058868408,14,"https://www.inaturalist.org/observations/94453437"
"Danaus plexippus","Monarch","2021-09-11","Winter Harbor, ME, USA",44.3323902046,-68.0610644817,66,"https://www.inaturalist.org/observations/96361306"
"Danaus plexippus","Monarch","2021-09-10","Winter Harbor, ME, USA",44.3353816103,-68.0593456263,1550,"https://www.inaturalist.org/observations/94383509"
"Actaea pachypoda","white baneberry","2021-09-06","Jordan Pond, Mount Desert, ME, US",44.3401966667,-68.2590466667,4,"https://www.inaturalist.org/observations/93931797"
"Danaus plexippus","Monarch","2021-09-04","Acadia National Park, Birch Harbor, ME, US",44.376225,-68.0751638333,4,"https://www.inaturalist.org/observations/93708489"
"Danaus plexippus","Monarch","2021-09-02","Acadia National Park, Bar Harbor, ME, US",44.3984079048,-68.2078235678,561,"https://www.inaturalist.org/observations/93947344"
"Danaus plexippus","Monarch","2021-09-01","10 Schoodic Shores, Winter Harbor, ME 04693, USA",44.3367080457,-68.0568755418,28,"https://www.inaturalist.org/observations/93325517"
"Danaus plexippus","Monarch","2021-08-29","Birch Harbor, ME, US",44.3743906547,-68.0630528112,616,"https://www.inaturalist.org/observations/93102987"
"Platanthera clavellata","small green wood orchid","2021-08-29","Bar Harbor, ME, USA",44.3769480437,-68.290656528,2,"https://www.inaturalist.org/observations/96221276"
"Rubus dalibarda","dewdrop","2021-08-29","Bar Harbor, ME, USA",44.3780006102,-68.2888533162,4,"https://www.inaturalist.org/observations/96221289"
"Lilium philadelphicum","Wood Lily","2021-08-28","Acadia National Park, Mount Desert, ME, US",44.3429666667,-68.2740466667,6,"https://www.inaturalist.org/observations/92784839"
"Lilium philadelphicum","Wood Lily","2021-08-28","Acadia National Park, Mount Desert, ME, US",44.3288145094,-68.2711928369,2095,"https://www.inaturalist.org/observations/92833409"
"Corema conradii","broom crowberry","2021-08-27","Birch Harbor",44.3780021667,-68.0367355347,4,"https://www.inaturalist.org/observations/92688908"
"Danaus plexippus","Monarch","2021-08-26","Acadia National Park, Birch Harbor, ME, US",44.3419844236,-68.0628998899,8160,"https://www.inaturalist.org/observations/92578529"
"Danaus plexippus","Monarch","2021-08-26","Trenton, ME 04605, USA",44.4270611624,-68.3644404434,386,"https://www.inaturalist.org/observations/92623997"
"Medeola virginiana","Cucumber Root","2021-08-26","Tremont, ME, USA",44.2957328086,-68.3753065603,15,"https://www.inaturalist.org/observations/92658391"
"Cornus rugosa","Round-leaved Dogwood","2021-08-26","Bar Harbor, ME, USA",44.4085677051,-68.2534124254,61,"https://www.inaturalist.org/observations/92658394"
"Asplenium trichomanes","maidenhair spleenwort","2021-08-25","Acadia National Park, Bar Harbor, ME, US",44.3483250015,-68.1930616667,1578,"https://www.inaturalist.org/observations/92467592"
"Teucrium canadense","American germander","2021-08-24","Acadia National Park, Southwest Harbor, ME, US",44.23778,-68.30640333,5,"https://www.inaturalist.org/observations/92426785"
"Chelone glabra","white turtlehead","2021-08-22","Acadia National Park, Bar Harbor, ME, US",44.3810533333,-68.254325,15,"https://www.inaturalist.org/observations/92161365"
"Monotropa hypopitys","pinesap","2021-08-22","Acadia National Park, Bar Harbor, ME, US",44.3875883333,-68.25502,22,"https://www.inaturalist.org/observations/92161544"
"Monotropa hypopitys","pinesap","2021-08-22","Acadia National Park, Southwest Harbor, ME, US",44.3006383333,-68.3470383333,30,"https://www.inaturalist.org/observations/92187186"
"Cypripedium acaule","pink lady's slipper","2021-08-20","Bar Harbor, ME, USA",44.3926966135,-68.230925652,15,"https://www.inaturalist.org/observations/92659096"
"Pinus resinosa","red pine","2021-08-20","Bar Harbor, ME, USA",44.3923439573,-68.232718641,15,"https://www.inaturalist.org/observations/92659097"
"Monotropa hypopitys","pinesap","2021-08-19","Mt Desert, ME, USA",44.3314861111,-68.2222277778,5,"https://www.inaturalist.org/observations/91801245"
"Platanthera clavellata","small green wood orchid","2021-08-19","Winter Harbor, ME, USA",44.341102545,-68.0574050435,4,"https://www.inaturalist.org/observations/91835597"
"Rhodiola rosea","Roseroot","2021-08-19","Winter Harbor, ME, USA",44.3331015096,-68.062540915,2,"https://www.inaturalist.org/observations/91835678"
"Toxicodendron radicans","eastern poison ivy","2021-08-19","Winter Harbor, ME, USA",44.3358424033,-68.0570650598,4,"https://www.inaturalist.org/observations/91835688"
"Spergularia marina","Saltmarsh Sand Spurry","2021-08-19","Winter Harbor, ME, USA",44.3345737234,-68.0520648352,122,"https://www.inaturalist.org/observations/92055879"
"Danaus plexippus","Monarch","2021-08-19","Acadia National Park, Mount Desert, ME, US",44.3196694221,-68.2541006872,109,"https://www.inaturalist.org/observations/98632186"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2021-08-17","Isle Au Haut, Acadia National Park, Knox County, US-ME, US",44.0275230408,-68.6482086182,11,"https://www.inaturalist.org/observations/91556727"
"Medeola virginiana","Cucumber Root","2021-08-17","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.3013916016,-68.3653335571,7,"https://www.inaturalist.org/observations/91563827"
"Monotropa hypopitys","pinesap","2021-08-17","Bar Harbor, ME, USA",44.3874486807,-68.2554251678,61,"https://www.inaturalist.org/observations/91606756"
"Euthamia graminifolia","flat-topped goldenrod","2021-08-16","Acadia National Park, Bar Harbor, ME, US",44.3525543483,-68.222822724,3,"https://www.inaturalist.org/observations/100604847"
"Euthamia graminifolia","flat-topped goldenrod","2021-08-15","Acadia National Park, Bar Harbor, ME, US",44.3700506422,-68.2060634159,941,"https://www.inaturalist.org/observations/91254854"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2021-08-15","Acadia National Park, Bar Harbor, ME, US",44.3630836951,-68.2077347115,67,"https://www.inaturalist.org/observations/91327752"
"Verbena hastata","blue vervain","2021-08-15","Acadia National Park, Mount Desert, ME, US",44.320975,-68.2539666667,5,"https://www.inaturalist.org/observations/91341124"
"Verbena hastata","blue vervain","2021-08-15","Acadia National Park, Mount Desert, ME, US",44.3204833333,-68.25432,5,"https://www.inaturalist.org/observations/91341632"
"Monotropa hypopitys","pinesap","2021-08-15","Bar Harbor, ME 04609, USA",44.3720925,-68.229539,NA,"https://www.inaturalist.org/observations/91352943"
"Danaus plexippus","Monarch","2021-08-12","Southwest Harbor, ME, USA",44.2535268677,-68.3405588933,1245,"https://www.inaturalist.org/observations/90945787"
"Monotropa hypopitys","pinesap","2021-08-11","Bar Harbor",44.3700790405,-68.2183532715,4,"https://www.inaturalist.org/observations/90792301"
"Asclepias syriaca","common milkweed","2021-08-10","Acadia National Park, Birch Harbor, ME, US",44.3363616667,-68.0617528333,5,"https://www.inaturalist.org/observations/90766124"
"Danaus plexippus","Monarch","2021-08-08","Birch Harbor",44.3368797302,-68.0620574951,65,"https://www.inaturalist.org/observations/90410250"
"Spergularia marina","Saltmarsh Sand Spurry","2021-08-07","Winter Harbor, ME, USA",44.332523,-68.061177,NA,"https://www.inaturalist.org/observations/90317891"
"Mertensia maritima","Oysterplant","2021-08-06","Maine, US",44.3867372734,-68.0718115982,NA,"https://www.inaturalist.org/observations/90212063"
"Corema conradii","broom crowberry","2021-08-06","Gouldsboro, ME 04613, USA",44.37828568,-68.03686369,7,"https://www.inaturalist.org/observations/90219218"
"Lonicera canadensis","American fly-honeysuckle","2021-08-06","Winter Harbor, ME 04693, USA",44.3690861111,-68.0768833333,NA,"https://www.inaturalist.org/observations/90411684"
"Mertensia maritima","Oysterplant","2021-08-06","Maine, US",44.3457692683,-68.0504017962,NA,"https://www.inaturalist.org/observations/90413896"
"Lysimachia maritima","Sea Milkwort","2021-08-06","Winter Harbor, ME 04693, USA",44.3414694444,-68.0583805556,NA,"https://www.inaturalist.org/observations/90415385"
"Rhodiola rosea","Roseroot","2021-08-06","Winter Harbor, ME 04693, USA",44.3324861111,-68.0606027778,NA,"https://www.inaturalist.org/observations/90419702"
"Trichophorum cespitosum","Tufted Bulrush","2021-08-06","Winter Harbor, ME 04693, USA",44.3330555556,-68.0619277778,NA,"https://www.inaturalist.org/observations/90420044"
"Corema conradii","broom crowberry","2021-08-06","Gouldsboro, ME 04613, USA",44.3781055556,-68.0367888889,NA,"https://www.inaturalist.org/observations/90420604"
"Verbena hastata","blue vervain","2021-08-06","Acadia National Park, ME, USA",44.3218302347,-68.2521629333,122,"https://www.inaturalist.org/observations/91359362"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2021-08-06","Isle Au Haut, ME 04645, USA",44.020999,-68.657542,NA,"https://www.inaturalist.org/observations/98567380"
"Danaus plexippus","Monarch","2021-08-05","Mt Desert, ME 04675, USA",44.321218,-68.2538169722,NA,"https://www.inaturalist.org/observations/100160201"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2021-08-04","Acadia National Park, Southwest Harbor, ME, US",44.2325524398,-68.3182248865,35,"https://www.inaturalist.org/observations/89898286"
"Euthamia graminifolia","flat-topped goldenrod","2021-08-04","Acadia National Park, Bar Harbor, ME, US",44.3584967405,-68.2070156281,5,"https://www.inaturalist.org/observations/89915889"
"Rhodiola rosea","Roseroot","2021-08-04","Acadia National Park, Winter Harbor, ME, US",44.3333907743,-68.0517733765,19,"https://www.inaturalist.org/observations/89929934"
"Rhodiola rosea","Roseroot","2021-08-04","Acadia National Park, Winter Harbor, ME, US",44.3334326402,-68.0517450695,3,"https://www.inaturalist.org/observations/90036502"
"Eutrochium maculatum","spotted Joe-Pye weed","2021-08-03","Mt Desert, ME 04660, USA",44.3384665066,-68.2733348384,16259,"https://www.inaturalist.org/observations/89837550"
"Monotropa hypopitys","pinesap","2021-08-02","Southwest Harbor, ME 04679, USA",44.282149,-68.347078,3400,"https://www.inaturalist.org/observations/89680266"
"Epigaea repens","trailing arbutus","2021-08-01","Cochrane Point, Acadia National Park, Hancock, Maine, United States",44.3915583333,-68.2430416667,9,"https://www.inaturalist.org/observations/90189503"
"Euthamia graminifolia","flat-topped goldenrod","2021-08-01","Cochrane Point, Acadia National Park, Hancock, Maine, United States",44.3684194444,-68.2561861111,11,"https://www.inaturalist.org/observations/90189512"
"Spergularia marina","Saltmarsh Sand Spurry","2021-07-31","Southwest Harbor, ME 04679, USA",44.2320305556,-68.3088333333,NA,"https://www.inaturalist.org/observations/90381815"
"Danaus plexippus","Monarch","2021-07-31","Acadia National Park, Southwest Harbor, ME, US",44.2304252759,-68.3124895814,286,"https://www.inaturalist.org/observations/90717829"
"Platanthera clavellata","small green wood orchid","2021-07-30","Acadia National Park, Mount Desert, ME, US",44.3064283333,-68.3152616667,2843,"https://www.inaturalist.org/observations/89321251"
"Arisaema triphyllum","Jack-in-the-Pulpit","2021-07-30","Acadia National Park, Southwest Harbor, ME, US",44.3122583333,-68.33667,32,"https://www.inaturalist.org/observations/89324133"
"Medeola virginiana","Cucumber Root","2021-07-30","Cochrane Point, Acadia National Park, Hancock, Maine, United States",44.3470277778,-68.2834916667,56,"https://www.inaturalist.org/observations/90103301"
"Lilium philadelphicum","Wood Lily","2021-07-30","Mt Desert, ME, USA",44.3437527778,-68.2742083333,4,"https://www.inaturalist.org/observations/90104495"
"Lonicera canadensis","American fly-honeysuckle","2021-07-30","Cochrane Point, Acadia National Park, Hancock, Maine, United States",44.3442083333,-68.2852166667,36,"https://www.inaturalist.org/observations/90105629"
"Teucrium canadense","American germander","2021-07-29","Acadia National Park, Bar Harbor, ME, US",44.36243,-68.2084283333,4,"https://www.inaturalist.org/observations/89191497"
"Spinulum annotinum","interrupted clubmoss","2021-07-29","Nicatous Lake, Acadia National Park, Hancock, Maine, United States",44.3221277778,-68.3652111111,16,"https://www.inaturalist.org/observations/90102683"
"Corema conradii","broom crowberry","2021-07-28","Stonington, ME 04645, USA",44.0243289456,-68.6446947232,1344,"https://www.inaturalist.org/observations/89010296"
"Asclepias syriaca","common milkweed","2021-07-28","Cochrane Point, Acadia National Park, Hancock, Maine, United States",44.3521166667,-68.2238694444,4,"https://www.inaturalist.org/observations/89038489"
"Epilobium ciliatum","fringed willowherb","2021-07-28","Schoodic Point, Acadia National Park, Hancock, Maine, United States",44.3326111111,-68.0616555556,NA,"https://www.inaturalist.org/observations/144799368"
"Rhodiola rosea","Roseroot","2021-07-28","Acadia National Park, Hancock, Maine, United States",44.33585,-68.0664083333,NA,"https://www.inaturalist.org/observations/144799373"
"Lysimachia maritima","Sea Milkwort","2021-07-28","Acadia National Park, Hancock, Maine, United States",44.3408222222,-68.0661888889,NA,"https://www.inaturalist.org/observations/144799374"
"Uvularia sessilifolia","sessile bellwort","2021-07-26","Bar Harbor, ME, USA",44.3682872745,-68.2111930659,306,"https://www.inaturalist.org/observations/88777752"
"Monotropa hypopitys","pinesap","2021-07-26","Bar Harbor, ME, USA",44.3640467263,-68.2082036133,286,"https://www.inaturalist.org/observations/88777772"
"Maianthemum racemosum","Solomon's plume","2021-07-26","Bar Harbor, ME, USA",44.3640467263,-68.2082036133,286,"https://www.inaturalist.org/observations/88777785"
"Platanthera clavellata","small green wood orchid","2021-07-26","Cochrane Point, Acadia National Park, Hancock, Maine, United States",44.3248805556,-68.2503805556,NA,"https://www.inaturalist.org/observations/144799348"
"Asclepias syriaca","common milkweed","2021-07-24","Bar Harbor",44.3520851135,-68.2239074707,16,"https://www.inaturalist.org/observations/88410612"
"Goodyera pubescens","downy rattlesnake plantain","2021-07-24","Hancock County, US-ME, US",44.3037028489,-68.3694362988,10,"https://www.inaturalist.org/observations/88421157"
"Toxicodendron radicans","eastern poison ivy","2021-07-24","Mt Desert, ME, USA",44.34002,-68.2574916667,NA,"https://www.inaturalist.org/observations/88599759"
"Medeola virginiana","Cucumber Root","2021-07-22","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3518486023,-68.2050476074,15,"https://www.inaturalist.org/observations/88128495"
"Medeola virginiana","Cucumber Root","2021-07-22","Acadia National Park, Bar Harbor, ME, US",44.3520483472,-68.2054140916,10,"https://www.inaturalist.org/observations/88154527"
"Asclepias syriaca","common milkweed","2021-07-22","Acadia National Park, Bar Harbor, ME, US",44.3975113892,-68.2097855588,37,"https://www.inaturalist.org/observations/88160280"
"Solidago flexicaulis","broad-leaved goldenrod","2021-07-21","Southwest Harbor, ME, USA",44.3156305556,-68.3391277778,10,"https://www.inaturalist.org/observations/88856062"
"Asclepias syriaca","common milkweed","2021-07-20","Acadia National Park, Bar Harbor, ME, US",44.3975747234,-68.2097256377,4,"https://www.inaturalist.org/observations/87877365"
"Rhodiola rosea","Roseroot","2021-07-20","Little Moose Island, Acadia National Park, Hancock County, US-ME, US",44.3330191329,-68.050871023,32,"https://www.inaturalist.org/observations/87911317"
"Rhexia virginica","Virginia meadowbeauty","2021-07-20","Acadia National Park, Bar Harbor, ME, US",44.3986133333,-68.2352833333,5,"https://www.inaturalist.org/observations/87917602"
"Rhodiola rosea","Roseroot","2021-07-17","Schoodic Point, Acadia National Park, Hancock County, US-ME, US",44.3366355896,-68.0567321777,65,"https://www.inaturalist.org/observations/87479876"
"Danaus plexippus","Monarch","2021-07-17","Mt Desert, ME 04675, USA",44.3203969722,-68.2535029722,NA,"https://www.inaturalist.org/observations/87485691"
"Rhodiola rosea","Roseroot","2021-07-16","Birch Harbor",44.3365898132,-68.056640625,65,"https://www.inaturalist.org/observations/87263420"
"Rhodiola rosea","Roseroot","2021-07-16","Winter Harbor",44.3334884644,-68.0517272949,8,"https://www.inaturalist.org/observations/87263787"
"Lilium philadelphicum","Wood Lily","2021-07-16","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.34144108,-68.27311629,9,"https://www.inaturalist.org/observations/87612190"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2021-07-16","Gulf of Maine, Isle au Haut, ME, US",44.0277648624,-68.6473851465,9,"https://www.inaturalist.org/observations/113858923"
"Danaus plexippus","Monarch","2021-07-15","Bar Harbor, ME 04609, USA",44.3975514,-68.20969875,4,"https://www.inaturalist.org/observations/87136461"
"Danaus plexippus","Monarch","2021-07-15","Winter Harbor, ME 04693, USA",44.3364447083,-68.0617680583,NA,"https://www.inaturalist.org/observations/87395264"
"Asclepias syriaca","common milkweed","2021-07-13","Winter Harbor, ME, USA",44.3367084767,-68.0613639835,266,"https://www.inaturalist.org/observations/86865383"
"Danaus plexippus","Monarch","2021-07-13","Winter Harbor, ME, USA",44.3367084767,-68.0613639835,266,"https://www.inaturalist.org/observations/86865386"
"Danaus plexippus","Monarch","2021-07-13","Winter Harbor, ME, USA",44.3367084767,-68.0613639835,266,"https://www.inaturalist.org/observations/86865389"
"Asclepias syriaca","common milkweed","2021-07-13","Winter Harbor, ME, USA",44.3367084767,-68.0613639835,266,"https://www.inaturalist.org/observations/86865390"
"Bombus terricola","Yellow-banded Bumble Bee","2021-07-13","Winter Harbor, ME, USA",44.3367084767,-68.0613639835,266,"https://www.inaturalist.org/observations/86865391"
"Corema conradii","broom crowberry","2021-07-12","Schoodic Point, Acadia National Park, Hancock County, US-ME, US",44.3438186646,-68.0486831665,11,"https://www.inaturalist.org/observations/86712544"
"Lilium philadelphicum","Wood Lily","2021-07-12","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3393135071,-68.2716064453,65,"https://www.inaturalist.org/observations/86898049"
"Cypripedium acaule","pink lady's slipper","2021-07-12","Acadia National Park, Mount Desert, ME, US",44.3178783333,-68.2168283333,120,"https://www.inaturalist.org/observations/86944516"
"Cypripedium acaule","pink lady's slipper","2021-07-12","Acadia National Park, Mount Desert, ME, US",44.3283116667,-68.220345,30,"https://www.inaturalist.org/observations/86945133"
"Danaus plexippus","Monarch","2021-07-12","Acadia National Park, Birch Harbor, ME, US",44.3373616667,-68.0599138333,65,"https://www.inaturalist.org/observations/87424047"
"Danaus plexippus","Monarch","2021-07-10","Winter Harbor, ME 04693, USA",44.3354445,-68.0574732997,NA,"https://www.inaturalist.org/observations/86491175"
"Danaus plexippus","Monarch","2021-07-10","Winter Harbor, ME, USA",44.3367084767,-68.0613639835,266,"https://www.inaturalist.org/observations/86865342"
"Danaus plexippus","Monarch","2021-07-10","Winter Harbor, ME, USA",44.3367084767,-68.0613639835,266,"https://www.inaturalist.org/observations/86865345"
"Polygala sanguinea","field milkwort","2021-07-10","Acadia National Park, Bar Harbor, ME, US",44.3905916667,-68.23658,32,"https://www.inaturalist.org/observations/93000109"
"Lysimachia maritima","Sea Milkwort","2021-07-09","Acadia National Park, Birch Harbor, ME, US",44.3408128582,-68.0662738255,9,"https://www.inaturalist.org/observations/86263247"
"Asclepias syriaca","common milkweed","2021-07-08","Acadia National Park, Bar Harbor, ME, US",44.3515866667,-68.2238916667,48,"https://www.inaturalist.org/observations/86239945"
"Lysimachia maritima","Sea Milkwort","2021-07-07","Birch Harbor",44.340801239,-68.0673599243,3,"https://www.inaturalist.org/observations/86056585"
"Lysimachia maritima","Sea Milkwort","2021-07-07","Acadia National Park, Hancock County, US-ME, US",44.3401327481,-68.0648823693,3459,"https://www.inaturalist.org/observations/86072945"
"Asclepias syriaca","common milkweed","2021-07-07","Bar Harbor, ME 04609, USA",44.3977099722,-68.2094129722,NA,"https://www.inaturalist.org/observations/86098278"
"Medeola virginiana","Cucumber Root","2021-07-06","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3660253445,-68.2124291135,330,"https://www.inaturalist.org/observations/85968115"
"Danaus plexippus","Monarch","2021-07-06","Winter Harbor, ME, USA",44.3367166667,-68.0620277778,65,"https://www.inaturalist.org/observations/86037785"
"Rhodiola rosea","Roseroot","2021-07-03","Birch Harbor",44.3358268738,-68.0668563843,4,"https://www.inaturalist.org/observations/85463168"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2021-07-03","Acadia National Park, Southwest Harbor, ME, US",44.2323,-68.318405,116,"https://www.inaturalist.org/observations/85524972"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2021-07-03","Acadia National Park, Bass Harbor, ME, US",44.241555,-68.3045283333,4,"https://www.inaturalist.org/observations/85801754"
"Asclepias syriaca","common milkweed","2021-07-03","Acadia National Park, Bar Harbor, ME, US",44.3976838561,-68.2094257605,5,"https://www.inaturalist.org/observations/133363295"
"Danaus plexippus","Monarch","2021-07-01","Acadia National Park, Mount Desert, ME, US",44.3204079191,-68.2534342071,49,"https://www.inaturalist.org/observations/85280299"
"Asclepias syriaca","common milkweed","2021-07-01","Bar Harbor, ME 04609, USA",44.3522666667,-68.2244888889,NA,"https://www.inaturalist.org/observations/85349341"
"Danaus plexippus","Monarch","2021-07-01","Winter Harbor, ME, USA",44.3371532394,-68.0612781313,271,"https://www.inaturalist.org/observations/86865265"
"Medeola virginiana","Cucumber Root","2021-06-30","Bar Harbor",44.3515510559,-68.2043457031,13,"https://www.inaturalist.org/observations/85091570"
"Medeola virginiana","Cucumber Root","2021-06-30","Acadia National Park, Bar Harbor, ME, US",44.3522589282,-68.2053089888,5,"https://www.inaturalist.org/observations/85094552"
"Medeola virginiana","Cucumber Root","2021-06-30","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3518409729,-68.2050933838,4,"https://www.inaturalist.org/observations/85097068"
"Uvularia sessilifolia","sessile bellwort","2021-06-30","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3621788025,-68.2078475952,65,"https://www.inaturalist.org/observations/85110525"
"Lysimachia maritima","Sea Milkwort","2021-06-29","Winter Harbor, ME, USA",44.3502613996,-68.0538436723,2562,"https://www.inaturalist.org/observations/85029087"
"Asclepias syriaca","common milkweed","2021-06-28","Acadia National Park, Bar Harbor, ME, US",44.3521166667,-68.2238383333,5,"https://www.inaturalist.org/observations/84834099"
"Rhodiola rosea","Roseroot","2021-06-27","Winter Harbor",44.3355560303,-68.0664825439,3,"https://www.inaturalist.org/observations/84717018"
"Cypripedium acaule","pink lady's slipper","2021-06-27","Acadia National Park, Bar Harbor, ME, US",44.3371479792,-68.2111925922,3974,"https://www.inaturalist.org/observations/85034854"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2021-06-24","Acadia National Park, Southwest Harbor, ME, US",44.22717,-68.320695,68,"https://www.inaturalist.org/observations/84362972"
"Asclepias syriaca","common milkweed","2021-06-24","Sieur de Monts Spring, Bar Harbor, ME 04609, USA",44.3625797,-68.2080684,1551,"https://www.inaturalist.org/observations/84731750"
"Rhodiola rosea","Roseroot","2021-06-23","Winter Harbor, ME 04693, USA",44.3323806117,-68.0610363185,1556,"https://www.inaturalist.org/observations/84256379"
"Danaus plexippus","Monarch","2021-06-23","Winter Harbor, ME 04693, USA",44.3365228611,-68.0619296111,NA,"https://www.inaturalist.org/observations/84368928"
"Asclepias syriaca","common milkweed","2021-06-23","Winter Harbor, ME 04693, USA",44.3365307778,-68.0620471944,NA,"https://www.inaturalist.org/observations/84368956"
"Danaus plexippus","Monarch","2021-06-23","Winter Harbor, ME 04693, USA",44.3359885278,-68.0594745278,NA,"https://www.inaturalist.org/observations/84368991"
"Rhodiola rosea","Roseroot","2021-06-23","Acadia National Park, Hancock, Maine, United States",44.3360483333,-68.0667483333,NA,"https://www.inaturalist.org/observations/84539590"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2021-06-22","Wild Gardens of Acadia, Bar Harbor, ME, USA",44.3628876641,-68.2079744339,173,"https://www.inaturalist.org/observations/87760733"
"Arisaema triphyllum","Jack-in-the-Pulpit","2021-06-21","Acadia National Park, Bar Harbor, ME, US",44.36252,-68.2081966667,4,"https://www.inaturalist.org/observations/83999062"
"Monotropa hypopitys","pinesap","2021-06-20","Acadia National Park, Bar Harbor, ME, US",44.41177,-68.270255,5,"https://www.inaturalist.org/observations/85792922"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2021-06-19","Acadia National Park, Southwest Harbor, ME, US",44.2302223701,-68.3220323893,5,"https://www.inaturalist.org/observations/83651838"
"Asclepias syriaca","common milkweed","2021-06-19","Acadia National Park, Bar Harbor, ME, US",44.3521409478,-68.2239012521,11,"https://www.inaturalist.org/observations/83683731"
"Rhodiola rosea","Roseroot","2021-06-19","Acadia National Park, Birch Harbor, ME, US",44.3330639447,-68.0625401826,183,"https://www.inaturalist.org/observations/83694304"
"Cypripedium acaule","pink lady's slipper","2021-06-19","Hancock County, US-ME, US",44.3113325034,-68.3578410873,9,"https://www.inaturalist.org/observations/83696430"
"Rhodiola rosea","Roseroot","2021-06-19","Acadia National Park, Winter Harbor, ME, US",44.3326383333,-68.0512083333,16,"https://www.inaturalist.org/observations/83698338"
"Rhodiola rosea","Roseroot","2021-06-19","Gulf of Maine, Winter Harbor, ME, US",44.3321716667,-68.0507583333,4,"https://www.inaturalist.org/observations/83702028"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2021-06-19","Acadia National Park, Southwest Harbor, ME, US",44.232675,-68.3185883333,5,"https://www.inaturalist.org/observations/83990640"
"Cypripedium acaule","pink lady's slipper","2021-06-18","Acadia National Park, Bar Harbor, ME, US",44.3395883333,-68.2112116667,5,"https://www.inaturalist.org/observations/83544365"
"Viburnum recognitum","Northern Arrowwood","2021-06-18","Acadia National Park, Bar Harbor, ME, US",44.3640633333,-68.2098533333,10,"https://www.inaturalist.org/observations/83991009"
"Uvularia sessilifolia","sessile bellwort","2021-06-18","Acadia National Park, Bar Harbor, ME, US",44.3667333333,-68.215995,10,"https://www.inaturalist.org/observations/83995745"
"Rhodiola rosea","Roseroot","2021-06-17","Acadia National Park, Birch Harbor, ME, US",44.3324283333,-68.0602721667,200,"https://www.inaturalist.org/observations/83412990"
"Danaus plexippus","Monarch","2021-06-16","Trenton, ME 04605, USA",44.4269003121,-68.3655776829,387,"https://www.inaturalist.org/observations/83305582"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2021-06-15","Mount Desert Island, Southwest Harbor, ME, US",44.2271116667,-68.3208083333,35,"https://www.inaturalist.org/observations/83180492"
"Toxicodendron radicans","eastern poison ivy","2021-06-13","Acadia National Park, Bar Harbor, ME, US",44.3236616667,-68.1869133333,28,"https://www.inaturalist.org/observations/82906858"
"Toxicodendron radicans","eastern poison ivy","2021-06-13","Winter Harbor, ME 04693, USA",44.3367666667,-68.0574388889,NA,"https://www.inaturalist.org/observations/82935398"
"Cypripedium acaule","pink lady's slipper","2021-06-12","Acadia National Park, Birch Harbor, ME, US",44.3384192661,-68.0594155826,65,"https://www.inaturalist.org/observations/82692103"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2021-06-12","Acadia National Park, Southwest Harbor, ME, US",44.2326883333,-68.318475,83,"https://www.inaturalist.org/observations/82764826"
"Rhodiola rosea","Roseroot","2021-06-12","Winter Harbor",44.3325767517,-68.0511245728,NA,"https://www.inaturalist.org/observations/82935649"
"Arisaema triphyllum","Jack-in-the-Pulpit","2021-06-12","Bar Harbor, ME, USA",44.3625777778,-68.2082444444,NA,"https://www.inaturalist.org/observations/87900228"
"Cypripedium acaule","pink lady's slipper","2021-06-10","Birch Harbor",44.3384170532,-68.0595779419,20,"https://www.inaturalist.org/observations/82451260"
"Cypripedium acaule","pink lady's slipper","2021-06-09","Acadia National Park, Birch Harbor, ME, US",44.3388252961,-68.0593490923,63,"https://www.inaturalist.org/observations/82382837"
"Cypripedium acaule","pink lady's slipper","2021-06-08","Mt Desert, ME 04660, USA",44.3298107,-68.2735667,NA,"https://www.inaturalist.org/observations/162053803"
